id	matches
S1-000057	S2-000003,S2-000006,S2-000008,S2-000011,S2-000019,S2-000026,S2-000027,S2-000028,S2-000033,S2-000035,S2-000036,S2-000040,S2-000046,S2-000047,S2-000063,S2-000070,S2-000077,S2-000081,S2-000086,S2-000088,S2-000106,S3-000003,S3-000006,S3-000010,S3-000018,S3-000024,S3-000025,S3-000030,S3-000032,S3-000034,S3-000035,S3-000038,S3-000044,S3-000045,S3-000046,S3-000048,S3-000062,S3-000070,S3-000080,S3-000083,S3-000090,S3-000109
S1-000098	S2-000002,S2-000005,S2-000006,S2-000007,S2-000012,S2-000016,S2-000018,S2-000027,S2-000035,S2-000050,S2-000051,S2-000054,S2-000055,S2-000061,S2-000065,S2-000069,S2-000073,S2-000076,S2-000091,S2-000092,S2-000103,S2-000106,S2-000107,S2-000110,S3-000002,S3-000005,S3-000006,S3-000011,S3-000015,S3-000025,S3-000034,S3-000050,S3-000054,S3-000069,S3-000072,S3-000074,S3-000075,S3-000079,S3-000093,S3-000094,S3-000106,S3-000112,S3-000117
S1-000070	S2-000005,S2-000011,S2-000018,S2-000025,S2-000038,S2-000039,S2-000040,S2-000041,S2-000044,S2-000053,S2-000057,S2-000060,S2-000067,S2-000074,S2-000086,S2-000087,S2-000092,S2-000093,S2-000101,S2-000105,S3-000005,S3-000010,S3-000017,S3-000030,S3-000037,S3-000038,S3-000039,S3-000042,S3-000052,S3-000056,S3-000059,S3-000064,S3-000067,S3-000076,S3-000077,S3-000088,S3-000103,S3-000104,S3-000116
S1-000147	S2-000003,S2-000006,S2-000007,S2-000018,S2-000019,S2-000036,S2-000046,S2-000047,S2-000050,S2-000054,S2-000055,S2-000063,S2-000065,S2-000069,S2-000070,S2-000073,S2-000080,S2-000084,S2-000088,S2-000090,S2-000091,S2-000106,S2-000107,S2-000110,S3-000003,S3-000006,S3-000018,S3-000030,S3-000035,S3-000044,S3-000045,S3-000046,S3-000048,S3-000062,S3-000069,S3-000070,S3-000074,S3-000086,S3-000090,S3-000093,S3-000112,S3-000117
S1-000075	S2-000006,S2-000012,S2-000019,S2-000020,S2-000021,S2-000024,S2-000034,S2-000041,S2-000056,S2-000061,S2-000062,S2-000069,S2-000073,S2-000078,S2-000079,S2-000094,S2-000100,S2-000103,S2-000108,S3-000006,S3-000011,S3-000018,S3-000019,S3-000022,S3-000033,S3-000039,S3-000061,S3-000072,S3-000096,S3-000102,S3-000106,S3-000114,S3-000116
S1-000005	S2-000002,S2-000004,S2-000015,S2-000035,S2-000044,S2-000053,S2-000055,S2-000059,S2-000060,S2-000066,S2-000072,S2-000076,S2-000083,S2-000085,S2-000086,S2-000092,S2-000095,S3-000002,S3-000004,S3-000042,S3-000052,S3-000059,S3-000066,S3-000079,S3-000085,S3-000088,S3-000094
S1-000139	S2-000009,S2-000017,S2-000019,S2-000020,S2-000021,S2-000055,S2-000056,S2-000077,S2-000078,S2-000079,S2-000080,S2-000084,S2-000090,S2-000100,S2-000106,S2-000108,S3-000008,S3-000016,S3-000018,S3-000019,S3-000080,S3-000086,S3-000102,S3-000110,S3-000114,S3-000116
S1-000046	S2-000001,S2-000009,S2-000010,S2-000011,S2-000016,S2-000018,S2-000019,S2-000029,S2-000030,S2-000038,S2-000039,S2-000040,S2-000043,S2-000047,S2-000052,S2-000057,S2-000061,S2-000077,S2-000083,S2-000084,S2-000086,S2-000088,S2-000108,S3-000001,S3-000010,S3-000015,S3-000017,S3-000018,S3-000027,S3-000031,S3-000037,S3-000038,S3-000041,S3-000051,S3-000064,S3-000080,S3-000085,S3-000088,S3-000110,S3-000114,S3-000116,S3-000117
S1-000082	S2-000008,S2-000011,S2-000023,S2-000026,S2-000028,S2-000033,S2-000035,S2-000066,S2-000071,S2-000077,S2-000082,S2-000095,S2-000097,S2-000102,S2-000109,S3-000010,S3-000021,S3-000024,S3-000032,S3-000034,S3-000046,S3-000066,S3-000071,S3-000080,S3-000084,S3-000099,S3-000105,S3-000109
S1-000039	S2-000013,S2-000015,S2-000017,S2-000023,S2-000027,S2-000033,S2-000040,S2-000070,S2-000076,S2-000080,S2-000081,S2-000086,S2-000096,S2-000097,S2-000101,S2-000111,S2-000112,S3-000012,S3-000016,S3-000021,S3-000025,S3-000032,S3-000038,S3-000048,S3-000083,S3-000098,S3-000099,S3-000103
S1-000040	S2-000003,S2-000014,S2-000024,S2-000029,S2-000034,S2-000041,S2-000043,S2-000044,S2-000047,S2-000058,S2-000062,S2-000064,S2-000078,S2-000079,S2-000094,S2-000097,S2-000098,S2-000109,S3-000003,S3-000013,S3-000022,S3-000027,S3-000033,S3-000039,S3-000041,S3-000045,S3-000061,S3-000063,S3-000077,S3-000081,S3-000096,S3-000099
S1-000008	S2-000007,S2-000018,S2-000024,S2-000025,S2-000031,S2-000037,S2-000046,S2-000050,S2-000054,S2-000063,S2-000065,S2-000068,S2-000069,S2-000073,S2-000091,S2-000093,S2-000105,S2-000106,S2-000107,S2-000110,S3-000007,S3-000022,S3-000031,S3-000062,S3-000068,S3-000069,S3-000074,S3-000093,S3-000111,S3-000112,S3-000117
S1-000067	S2-000013,S2-000025,S2-000027,S2-000052,S2-000058,S2-000060,S2-000062,S2-000065,S2-000082,S2-000085,S2-000094,S2-000096,S2-000098,S2-000103,S2-000110,S2-000112,S3-000012,S3-000023,S3-000025,S3-000051,S3-000053,S3-000057,S3-000059,S3-000061,S3-000065,S3-000084,S3-000087,S3-000098,S3-000104,S3-000108
S1-000133	S2-000003,S2-000008,S2-000032,S2-000033,S2-000034,S2-000041,S2-000043,S2-000044,S2-000058,S2-000064,S2-000085,S2-000096,S2-000097,S2-000107,S2-000109,S3-000003,S3-000032,S3-000039,S3-000041,S3-000063,S3-000077,S3-000099
